tanggal,level_harga,provinsi,komoditas,harga_rupiah,harga_bulan_berikutnya,perubahan_harga_1_bulan_pct,target_perubahan_harga_1_bulan_pct,n_raw_rows,unique_price_count,min_price,max_price,flag_change_abs_100pct,flag_target_abs_100pct,flag_change_mad,flag_target_mad,flag_source_conflict
2024-02-01,konsumen,Lampung,Beras Premium,15573.0,15695.0,7.756711873789102,0.7834071790920216,1,1,15573.0,15573.0,False,False,True,False,False
2023-11-01,produsen,Nusa Tenggara Barat,Beras Medium Tingkat Penggilingan,12124.0,12031.0,19.084569295746977,-0.7670735730781919,1,1,12124.0,12124.0,False,False,True,False,False
2023-05-01,konsumen,Papua,Kedelai Biji Kering,14949.0,15063.0,-13.644503494887639,0.7625928155729378,1,1,14949.0,14949.0,False,False,True,False,False
2023-02-01,konsumen,Riau,Beras Medium,11153.0,11238.0,-8.821124918247225,0.7621267820317357,1,1,11153.0,11153.0,False,False,True,False,False
2023-10-01,konsumen,Papua Barat,Beras Medium,16080.0,16195.0,13.760169791298193,0.7151741293532243,1,1,16080.0,16080.0,False,False,True,False,False
2022-05-01,konsumen,Gorontalo,Daging Sapi Murni,138669.0,137688.0,5.019652986572343,-0.7074400190381414,1,1,138669.0,138669.0,False,False,True,False,False
2024-02-01,konsumen,Lampung,Beras Medium,14014.0,14113.0,7.55180353031466,0.7064364207221452,1,1,14014.0,14014.0,False,False,True,False,False
2024-01-01,produsen,Kalimantan Tengah,Beras Medium Tingkat Penggilingan,13104.0,13012.0,12.635379061371843,-0.7020757020756996,1,1,13104.0,13104.0,False,False,True,False,False
2025-03-01,konsumen,Papua Barat,Gula Pasir Lokal/Curah,19982.0,20122.0,7.644238539029247,0.7006305675107516,1,1,19982.0,19982.0,False,False,True,False,False
2023-11-01,produsen,Jawa Barat,Beras Medium Tingkat Penggilingan,12558.0,12471.0,13.925428649188065,-0.6927854753941753,1,1,12558.0,12558.0,False,False,True,False,False
2024-09-01,konsumen,Papua Tengah,Minyak Goreng Kemasan,27543.0,27731.0,-10.204414305741205,0.6825690738118562,1,1,27543.0,27543.0,False,False,True,False,False
2024-01-01,produsen,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),52713.0,53070.0,6.199129663953573,0.6772522907062761,1,1,52713.0,52713.0,False,False,True,False,False
2024-07-01,konsumen,Papua Selatan,Daging Sapi Murni,144000.0,143043.0,-4.0000000000000036,-0.6645833333333351,1,1,144000.0,144000.0,False,False,True,False,False
2024-03-01,konsumen,Kalimantan Timur,Beras Premium,18061.0,17943.0,6.523149513417881,-0.6533414539615756,1,1,18061.0,18061.0,False,False,True,False,False
2025-01-01,konsumen,Lampung,Minyak Goreng Curah,18112.0,18229.0,10.217245785918582,0.6459805653710182,1,1,18112.0,18112.0,False,False,True,False,False
2024-05-01,konsumen,Papua Barat Daya,Garam Konsumsi,11318.0,11391.0,-6.985535831689682,0.6449902809683605,1,1,11318.0,11318.0,False,False,True,False,False
2025-01-01,konsumen,Lampung,Tepung Terigu Curah,9772.0,9709.0,-6.88899475940924,-0.6446991404011504,1,1,9772.0,9772.0,False,False,True,False,False
2025-01-01,konsumen,Papua Barat,Minyak Goreng Kemasan,29748.0,29557.0,19.980640477534894,-0.642059970418174,1,1,29748.0,29748.0,False,False,True,False,False
2024-08-01,konsumen,Papua Pegunungan,Daging Sapi Murni,162600.0,163636.0,-5.695941909628177,0.6371463714637038,1,1,162600.0,162600.0,False,False,True,False,False
2023-07-01,produsen,Nusa Tenggara Timur,Kedelai Biji Kering Tingkat Petani,10063.0,10000.0,-59.748000000000005,-0.6260558481566147,1,1,10063.0,10063.0,False,False,True,False,False
2022-04-01,konsumen,Lampung,Minyak Goreng Kemasan,24450.0,24300.0,11.101013313945574,-0.6134969325153339,1,1,24450.0,24450.0,False,False,True,False,False
2024-02-01,konsumen,D.I Yogyakarta,Beras Premium,15964.0,16061.0,10.48515468198492,0.6076171385617668,1,1,15964.0,15964.0,False,False,True,False,False
2025-03-01,konsumen,Sulawesi Tenggara,Minyak Goreng Curah,17520.0,17623.0,8.0680977054034,0.5878995433789891,1,1,17520.0,17520.0,False,False,True,False,False
2022-11-01,konsumen,Kalimantan Timur,Beras Premium,13526.0,13602.0,-11.8080459020669,0.5618808221203642,1,1,13526.0,13526.0,False,False,True,False,False
2025-03-01,konsumen,Kalimantan Utara,Gula Pasir Lokal/Curah,18759.0,18654.0,7.674205028125369,-0.5597313289620987,1,1,18759.0,18759.0,False,False,True,False,False
2024-07-01,konsumen,Papua Selatan,Tepung Terigu Curah,12800.0,12870.0,-5.576866332251407,0.5468749999999911,1,1,12800.0,12800.0,False,False,True,False,False
2024-06-01,produsen,Nusa Tenggara Timur,Beras Medium Tingkat Penggilingan,10795.0,10737.0,-12.929504758832067,-0.5372857804539111,1,1,10795.0,10795.0,False,False,True,False,False
2022-06-01,konsumen,Riau,Daging Sapi Murni,145352.0,146123.0,-3.8753538078988403,0.5304364577026766,1,1,145352.0,145352.0,False,False,True,False,False
2024-08-01,konsumen,Sulawesi Barat,Garam Konsumsi,10412.0,10357.0,-5.696947740240921,-0.5282366500192093,1,1,10412.0,10412.0,False,False,True,False,False
2023-07-01,produsen,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),40208.0,40000.0,-8.541273343493394,-0.5173099880620757,1,1,40208.0,40208.0,False,False,True,False,False
2023-09-01,konsumen,Bengkulu,Beras Medium,13105.0,13171.0,12.760282223369469,0.503624570774508,1,1,13105.0,13105.0,False,False,True,False,False
2023-10-01,konsumen,Papua Barat,Daging Sapi Murni,154638.0,153878.0,8.64292940647482,-0.4914704018417204,1,1,154638.0,154638.0,False,False,True,False,False
2025-08-01,produsen,Lampung,Jagung Pipilan Kering Tingkat Petani,5704.0,5676.0,29.606907521017956,-0.4908835904628317,1,1,5704.0,5704.0,False,False,True,False,False
2024-10-01,konsumen,Papua Tengah,Garam Konsumsi,13892.0,13960.0,-33.74666157954979,0.4894903541606599,1,1,13892.0,13892.0,False,False,True,False,False
2024-05-01,konsumen,Papua Barat,Kedelai Biji Kering,13580.0,13646.0,-13.00448430493274,0.4860088365242987,1,1,13580.0,13580.0,False,False,True,False,False
2023-11-01,produsen,Jambi,GKP Tk. Petani,6637.0,6605.0,15.486340699495393,-0.4821455476872072,1,1,6637.0,6637.0,False,False,True,False,False
2024-07-01,konsumen,Papua Selatan,Telur Ayam Ras,57333.0,57609.0,-28.333750000000002,0.4813981476636586,1,1,57333.0,57333.0,False,False,True,False,False
2025-02-01,konsumen,Kalimantan Barat,Jagung Tingkat Peternak,5700.0,5727.0,-26.810477657935284,0.47368421052631504,1,1,5700.0,5700.0,False,False,True,False,False
2025-01-01,konsumen,Papua Tengah,Garam Konsumsi,15022.0,15093.0,6.471046849528661,0.4726401278125403,1,1,15022.0,15022.0,False,False,True,False,False
2024-08-01,konsumen,Papua Selatan,Jagung Tingkat Peternak,12100.0,12043.0,46.66666666666666,-0.4710743801652928,1,1,12100.0,12100.0,False,False,True,False,False
2022-04-01,konsumen,Kalimantan Utara,Minyak Goreng Kemasan,26700.0,26575.0,11.580091102845923,-0.46816479400748623,1,1,26700.0,26700.0,False,False,True,False,False
2024-09-01,konsumen,Papua Tengah,Daging Sapi Murni,151738.0,151033.0,-3.795237249879535,-0.4646166418431741,1,1,151738.0,151738.0,False,False,True,False,False
2024-03-01,konsumen,Kalimantan Timur,Beras Medium,16313.0,16240.0,7.244757083689435,-0.4474958621957903,1,1,16313.0,16313.0,False,False,True,False,False
2024-02-01,konsumen,Bali,Beras Premium,16353.0,16426.0,8.867585380467347,0.4464012719378685,1,1,16353.0,16353.0,False,False,True,False,False
2023-12-01,konsumen,DKI Jakarta,Gula Pasir Lokal/Curah,16820.0,16895.0,6.698807409286989,0.44589774078478417,1,1,16820.0,16820.0,False,False,True,False,False
